Data Series,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan 
  Household Durables & Services,100.025,99.6,99.577,99.244,99.858,99.971,100.196,100.109,99.982,100.156,100.345,100.145,100.325,100.095,99.569,99.308,99.511,99.61,99.443,99.662,99.348,98.843,98.926,99.035,99.19,99.025,98.018,98.3,98.168,98.06,97.947,97.337,97.231,97.211,97.069,96.712,96.596,96.366,96.199,96.054,95.962,95.94,95.889,95.654,95.373,95.343,95.284,95.296,95.038,94.804,94.312,94.319,94.468,94.576,94.358,94.118,93.932,93.811,94.157,94.109,94.06,93.799,93.865,93.919,93.765,93.84,94.082,93.879,93.955,94.155,94.341,93.673,93.668,93.412,93.314,93.385,93.612,93.5,93.4,93.189,92.979,93.037,93.02,93.095,92.824,92.737,92.617,92.786,92.851,92.826,92.762,92.816,92.233,92.383,92.385,92.496,92.083,91.611
    Furniture & Furnishings,100.143,98.977,98.774,97.431,99.341,99.108,100.709,100.626,99.869,100.532,101.072,100.82,101.006,100.714,99.928,98.438,98.914,98.928,98.817,99.073,98.845,97.864,99.053,99.097,99.662,99.039,98.344,98.996,98.406,99.105,98.706,96.172,95.713,96.036,95.824,95.859,95.064,95.364,94.976,94.13,94.074,93.3,93.215,93.168,93.774,93.617,93.266,93.319,92.783,92.759,91.854,91.352,91.9,92.034,92.207,91.479,90.214,90.147,92.137,92.037,92.076,91.764,91.878,92.194,90.68,90.993,91.591,91.109,91.058,92.043,92.043,90.723,91.27,90.665,90.929,91.006,91.917,91.845,91.51,91.204,90.53,90.184,90.188,90.265,90.584,90.841,90.575,90.278,90.682,90.77,90.778,91.136,90.795,91.273,91.508,91.358,91.246,90.862
    Household Textiles,97.54,97.582,98.144,96.289,98.901,98.815,102.948,101.302,101.061,100.812,100.832,100.428,101.533,98.939,100.388,99.162,100.764,100.895,100.587,101.155,100.527,98.163,98.746,100.785,100.432,99.939,99.321,102.076,100.403,100.327,98.041,96.903,97.656,97.718,98.483,97.548,97.009,97.451,98.226,98.879,98.07,97.756,96.856,98.056,98.016,98.308,98.828,99.708,100.185,98.099,99.15,98.986,98.918,98.112,98.844,98.594,98.814,100.086,100.417,101.051,101.462,100.253,100.881,100.429,99.546,99.467,100.03,98.935,99.453,98.883,100.137,101.427,101.873,100.155,100.941,101.046,101.976,101.178,101.977,101.625,101.077,102.211,102.369,102.789,102.262,101.258,102.247,103.079,102.528,103.194,104.045,104.446,102.754,102.855,102.901,104.865,103.531,103.467
    Household Appliances,99.892,99.092,99.608,99.802,100.44,100.862,100.016,100,99.791,99.763,100.198,99.766,99.889,99.868,99.336,99.527,100.038,100.386,99.993,100.884,100.652,100.55,100.044,100.129,100.945,101.145,99.126,99.522,100.385,99.872,100.257,99.527,99.872,99.999,100.449,99.54,99.797,98.699,97.309,97.62,97.53,98.42,98.037,97.246,97.096,96.667,96.524,96.768,96.209,95.922,95.806,95.608,96.27,96.364,95.352,94.963,94.933,94.288,94.444,94.438,94.11,94.178,94.291,94.073,94.891,95.644,95.876,95.758,96.218,96.4,96.857,96.845,95.961,96.346,96.53,96.537,97.303,97.292,97.16,97.141,97.362,97.135,97.258,97.435,97.27,96.555,95.781,97.189,97.931,98.236,98.105,98.275,98.432,97.863,98.629,99.635,98.878,97.953
      Major Household Appliances,99.327,98.237,98.835,99.024,100.015,100.52,99.945,99.937,100.237,100.004,100.606,100.266,100.341,100.275,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Small Household Appliances,100.519,99.933,101.637,102.114,102.047,102.668,99.505,99.428,97.762,98.597,98.882,98.739,99.239,99.384,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Repair & Installation Of Household Appliances,101.284,101.284,100.636,100.636,100.636,100.636,100.636,100.636,99.841,99.841,99.841,98.887,98.887,98.887,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Glassware, Tableware & Household Utensils",99.989,98.8,99.162,99.583,99.893,100.566,99.562,99.777,99.147,99.905,100.153,100.869,100.81,100.571,98.639,99.019,99.259,100.38,100.589,101.275,100.557,99.819,101.145,101.423,100.902,101.292,99.194,99.696,100.288,100.3,100.526,100.77,99.885,97.728,97.515,96.67,96.562,96.562,96.642,96.612,96.931,95.986,96.101,95.477,96.864,97.561,97.392,97.158,97.624,97.184,97.485,98.127,98.632,98.874,99.174,98.312,97.912,98.094,97.776,97.794,98.605,96.928,96.407,96.359,96.118,95.891,96.821,96.184,96.642,96.204,97.873,97.555,98.438,96.356,97.653,98.935,98.544,97.12,97.474,97.232,95.683,96.732,96.726,97.53,96.64,96.108,96.123,97.614,97.465,97.67,97.148,96.97,94.499,97.498,96.879,97.425,96.01,96.127
    Tools & Equipment For House & Garden,100.123,99.704,99.473,98.71,99.916,99.433,99.144,99.943,100.586,100.768,100.962,100.788,99.755,100.526,99.736,98.809,98.696,99.89,100.044,99.825,99.662,98.175,97.641,97.526,97.869,97.745,95.25,94.705,94.115,93.706,92.969,93.24,93.159,90.593,88.465,89.743,89.425,89.259,88.814,88.539,87.943,88.085,87.802,87.925,87.765,86.053,86.171,88.388,87.384,87.649,87.77,87.974,88.746,87.567,87.294,87.932,87.656,87.273,86.234,86.278,86.693,85.653,86.658,86.451,85.463,85.135,84.914,85.401,84.934,85.752,85.221,85.049,85.424,85.724,84.987,85.139,85.16,84.117,84.585,84.91,84.273,83.401,82.458,83.585,83.503,83.527,83.861,84.189,83.72,82.981,83.762,84.033,81.574,81.838,80.054,82.095,81.316,81.789
    Household Services & Supplies,100.171,100.24,100.049,100.042,99.939,100.089,99.915,99.861,100.077,100.091,100.036,99.899,100.078,99.927,99.541,99.537,99.525,99.49,99.342,99.342,99.013,98.66,98.51,98.556,98.472,98.322,97.587,97.637,97.41,97.178,97.109,97.032,96.912,96.952,96.696,96.379,96.382,96.186,96.364,96.261,96.181,96.193,96.275,96.083,95.401,95.51,95.531,95.379,95.23,95.029,94.424,94.596,94.463,94.64,94.452,94.401,94.481,94.415,94.419,94.339,94.255,94.069,94.089,94.174,94.214,94.075,94.18,94.077,94.061,94.092,94.149,93.371,93.361,93.185,92.875,92.869,92.839,92.866,92.715,92.486,92.431,92.521,92.491,92.44,92.066,92.107,92.041,91.948,91.883,91.731,91.606,91.554,91.041,91.053,90.955,90.745,90.467,89.962
      Non-Durable Household Goods,101.449,99.114,100.522,100.403,99.526,100.403,98.932,99.196,100.49,100.607,100.14,99.677,100.189,99.915,100.145,100.117,100.024,99.764,99.252,99.253,98.577,97.551,97.791,98.2,97.562,96.473,96.183,96.729,95.024,95.13,94.606,94.14,93.805,94.102,92.588,91.494,91.517,90.043,91.263,91.843,91.234,91.323,91.948,91.049,91.05,91.866,92.255,91.319,89.686,89.565,90.453,91.745,91.68,93.555,92.306,92.141,92.886,92.384,92.416,92.097,91.24,90.082,90.23,90.871,91.172,89.872,90.655,90.856,90.738,90.972,91.397,91.098,91.273,90.853,91.506,91.462,91.236,91.436,91.637,90.706,90.771,91.626,91.473,91.69,90.637,91.141,91.295,91.801,91.134,91.429,91.102,90.907,90.222,90.908,91.437,91.436,91.706,90.79
      Domestic Services & Household Services,99.986,100.381,99.974,99.982,99.982,100.051,100.051,99.954,100.026,100.026,100.026,99.932,100.067,99.932,99.453,99.453,99.453,99.453,99.386,99.386,99.258,99.007,98.795,98.786,98.786,98.781,97.976,97.95,97.95,97.664,97.664,97.647,97.562,97.562,97.499,97.298,97.298,97.298,97.317,97.109,97.109,97.109,97.109,97.024,96.236,96.236,96.204,96.176,96.255,96.04,95.204,95.204,95.059,94.976,94.951,94.916,94.893,94.893,94.893,94.849,94.883,94.846,94.846,94.846,94.846,94.885,94.885,94.736,94.736,94.736,94.736,93.879,93.841,93.702,93.237,93.237,93.237,93.237,93.033,92.912,92.839,92.81,92.798,92.705,92.437,92.404,92.303,92.115,92.145,91.922,91.829,91.798,91.309,91.215,91.018,90.775,90.409,89.966
      Other Insurance Nec,103.283,102.949,102.949,102.949,102.949,99.017,99.017,99.017,99.017,99.017,99.017,99.017,99.017,99.017,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Health,100.776,100.732,100.485,100.307,99.889,101.453,100.361,100.181,100.008,100.122,99.753,99.201,99.02,99.223,97.853,97.743,97.947,97.392,96.988,96.569,96.239,95.339,95.305,94.554,94.559,94.362,93.131,92.936,93.09,93.162,92.971,92.88,91.632,91.139,91.434,90.947,90.915,90.758,90.342,90.477,90.563,90.582,90.542,90.462,89.922,89.981,89.949,89.939,89.261,89.278,89,89.15,89.039,89.036,89.03,89.047,88.942,89.08,89.115,88.984,89.378,89.381,89.31,89.59,90.551,90.799,90.774,90.762,90.503,90.828,90.782,90.663,90.734,90.583,89.818,89.497,89.574,89.656,89.853,89.727,89.52,89.457,89.446,88.982,88.951,88.756,88.319,88.09,88.007,87.903,88.056,87.987,87.44,87.392,87.658,87.099,86.803,86.776
    Medicines & Health Products,98.158,99.23,98.753,98.474,98.964,100.168,99.784,100.185,99.797,101.515,101.735,100.361,99.689,100.578,98.312,98.334,100.379,99.296,99.367,98.955,98.656,97.367,98.332,97.224,97.897,97.446,98.555,98.306,98.091,98.434,97.264,97.797,97.256,94.756,97.035,95.557,96.04,95.971,94.629,95.859,96.25,96.294,96.601,96.773,95.052,94.867,96.588,96.287,95.493,95.141,94.612,95.711,95.469,95.725,95.791,96.034,95.385,96.404,97.218,96.671,96.4,94.657,95.222,97.032,96.375,96.557,96.439,96.792,96.36,98.487,98.307,98.086,98.705,98.278,96.829,95.94,97.106,97.731,99.202,98.787,98.172,98.144,98.232,98.694,98.856,98.819,98.033,97.341,97.988,97.692,98.679,98.683,97.157,97.684,99.044,98.576,97.416,97.814
      Medicines & Health Supplements,97.241,99.005,97.693,97.138,99.059,100.698,100.162,100.766,99.749,101.991,102.42,100.463,99.297,100.566,97.899,98.105,100.547,99.22,99.096,98.731,98.437,96.701,97.993,96.485,97.234,96.805,97.916,97.664,97.484,97.985,96.662,97.271,96.697,93.486,96.26,94.73,95.32,95.133,93.647,95.046,95.42,95.844,96.075,96.265,93.962,93.587,95.771,95.374,94.321,93.978,93.347,94.53,94.182,94.323,94.423,94.615,94.1,95.488,96.399,95.477,95.274,93.104,93.827,96.321,95.314,95.518,95.576,95.954,95.456,97.942,97.712,97.363,98.144,97.517,96.233,95.152,96.535,96.956,98.883,98.513,97.711,97.572,97.647,98.129,98.298,98.359,97.329,96.675,97.396,96.628,98.01,98.031,96.199,96.647,98.377,98.082,96.668,97.19
      Medical Products,97.963,98.636,98.105,98.866,99.59,99.051,98.691,99.558,98.023,100.004,98.445,102.58,102.65,104.44,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Assistive Products,100.445,99.877,101.461,101.704,98.635,99.034,99.02,98.85,100.189,100.577,100.556,99.767,100.197,100.012,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Outpatient Care Services,99.767,99.636,99.516,99.392,99.315,100.889,100.542,100.33,100.258,100.119,100.07,99.929,99.701,99.941,98.148,97.932,97.788,97.105,96.422,96.059,95.707,95.389,95.151,94.812,94.591,94.307,92.04,91.943,92.895,92.729,92.532,92.285,89.574,89.294,89.317,89.267,89.067,88.897,88.743,88.606,88.54,88.506,88.403,88.195,87.999,88.118,88.18,88.092,87.974,88.233,88.169,88.088,87.998,87.903,87.86,87.814,87.84,87.836,87.653,87.65,88.702,89.42,89.35,89.314,92.143,92.444,92.394,92.309,92.28,92.233,92.25,92.157,92.106,92.012,91.074,90.805,90.755,90.943,90.736,90.627,90.533,90.469,90.407,89.977,89.813,89.677,89.543,89.47,89.382,89.23,89.152,89.13,88.97,88.822,89.102,88.606,88.498,88.443
      Fees At Polyclinics,101.407,101.407,100.444,100.444,100.444,101.271,99.81,99.81,99.81,99.81,99.81,99.803,99.315,99.227,99.094,99.094,99.094,92.229,90.874,90.874,90.878,90.878,90.211,89.026,89.026,89.026,88.195,88.195,87.074,84.273,83.333,83.185,76.806,76.806,76.806,76.806,76.806,76.806,76.806,76.806,76.806,76.806,76.627,75.893,75.893,75.893,75.893,75.895,75.895,75.895,75.895,75.895,75.895,75.895,75.895,75.895,75.895,75.895,75.895,75.853,79.192,81.549,81.549,81.549,86.436,87.011,87.011,87.011,87.011,87.011,87.011,87.011,87.011,87.011,86.922,86.377,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,86.121,85.727,85.25,85.25,85.25,85.25,85.25,85.25
      Fees At General Practitioners (GP) Clinics,100.181,99.88,99.692,99.56,99.554,100.792,100.409,100.075,99.855,99.617,99.621,99.488,98.776,102.559,98.112,97.483,97.259,97.081,96.961,96.645,96.047,95.927,94.905,94.836,93.415,93.191,92.733,92.525,91.13,90.833,90.783,89.931,69.613,69.58,69.58,69.556,69.549,70.198,70.143,70.886,70.39,70.205,70.201,69.956,69.941,71.125,72.708,72.73,72.658,74.134,73.989,73.825,73.893,73.763,73.642,73.304,73.163,73.123,72.937,72.81,82.399,87.838,87.731,87.612,98.681,99.67,99.587,99.481,99.479,99.28,98.865,98.808,98.636,98.636,97.645,96.93,96.949,96.853,96.544,96.325,96.26,96.077,96.074,95.963,95.577,95.26,94.966,94.924,94.924,94.924,94.768,94.71,94.468,94.375,94.18,94.013,93.604,93.546
      Fees At Specialist Outpatient Clinics,99.061,98.904,99.007,98.822,98.82,100.75,100.55,100.431,100.525,100.387,100.408,100.21,100.05,100.038,98.362,98.274,98.214,98.024,97.057,96.644,96.374,95.841,95.727,95.544,95.407,95.27,92.346,92.269,94.592,94.904,94.707,94.553,94.547,94.358,94.399,94.354,94.264,94.206,93.975,93.612,93.716,93.689,93.687,93.599,93.151,93.193,93.094,92.935,93,93.225,93.198,93.188,93.016,92.929,92.874,92.859,93.052,93.052,92.782,92.775,92.551,92.551,92.536,92.5,93.156,93.371,93.305,93.216,93.211,93.191,93.185,93.087,93.026,92.858,91.538,91.388,91.314,91.314,91.279,91.188,91.093,91.057,91,90.175,90.03,89.935,89.809,89.726,89.529,89.202,89.172,89.207,88.916,88.629,89.364,88.979,88.943,88.847
      Outpatient Dental Services,101.253,101.253,101.054,101.054,100.792,101.46,101.033,100.344,99.463,99.237,99.051,99.012,99.012,98.486,98.011,97.422,97.424,97.317,97.161,96.587,95.839,95.792,95.682,95.012,94.999,93.916,91.958,91.78,91.1,90.946,90.894,90.519,90.47,89.871,89.871,89.871,89.187,88.076,88.076,88.18,87.755,87.755,87.443,86.993,87.297,87.178,86.939,86.939,86.089,86.024,85.951,85.609,85.609,85.483,85.483,85.483,85.075,85.075,84.992,84.992,84.757,84.708,84.698,84.677,90.362,90.526,90.526,90.383,90.536,90.392,90.824,90.665,90.665,90.665,90.417,90.351,90.252,90.241,89.475,89.358,89.358,89.352,89.096,89.096,89.006,88.869,88.856,88.685,88.685,88.644,88.457,88.402,88.297,88.296,88.277,87.543,87.543,87.543
      Outpatient Care Services Nec,100.239,100.181,99.52,99.52,99.008,100.689,100.607,100.451,100.618,100.618,100.145,100.103,99.934,98.787,96.347,96.317,95.359,95.301,95.301,95.277,95.136,95.109,95.101,94.867,94.863,94.863,92.82,92.809,92.799,92.081,92.078,92.078,90.224,89.476,89.476,89.232,88.896,88.773,88.558,88.268,88.268,88.261,87.875,87.89,87.91,87.901,87.894,87.879,87.879,87.84,87.597,87.597,87.597,87.462,87.462,87.417,87.453,87.453,87.453,87.626,87.632,87.632,87.085,87.085,87.085,87.186,87.126,87.126,86.567,86.659,86.525,86.47,86.47,86.47,84.734,84.641,84.672,86.309,86.309,86.301,86,85.954,85.992,85.69,85.69,85.675,85.591,85.591,85.591,85.585,85.585,85.584,86.034,86.034,86.034,84.704,84.696,84.696
    Inpatient Care Services,99.634,99.277,98.861,98.449,98.354,101.665,101.119,100.627,100.213,100.279,100.281,100.113,100.021,100.021,98.009,97.924,97.812,97.466,96.988,96.25,95.702,93.534,93.337,92.64,92.587,92.569,91.568,91.121,91.015,91.461,91.876,91.736,91.649,91.816,91.59,90.721,90.609,90.361,89.846,89.819,90.016,90.136,89.949,89.953,89.29,89.471,89.27,89.186,89.325,89.195,88.538,88.544,88.433,88.406,88.413,88.397,88.359,88.239,88.197,88.036,88.06,88.038,87.507,87.487,87.05,87.528,87.616,87.468,86.742,86.738,86.668,86.513,86.47,86.364,86.197,85.996,85.698,85.495,85.5,85.47,85.292,85.203,85.196,84.168,84.14,83.807,83.211,82.998,82.562,82.568,82.569,82.41,81.867,81.623,81.616,80.836,80.718,80.608
    Other Health Services,101.596,101.448,100.695,100.635,100.635,101.154,100.547,100.005,99.636,99.533,99.533,99.252,99.242,99.137,98.321,98.234,98.116,97.923,97.537,96.812,96.792,96.654,95.631,95.286,95.26,95.26,91.824,91.689,91.112,90.591,90.238,90.146,89.886,89.797,89.845,89.572,89.524,89.42,89.271,89.179,89.177,89.131,89.06,88.563,88.238,88.152,87.894,87.749,87.747,87.742,87.615,87.615,87.615,87.615,87.615,87.615,87.626,87.626,87.332,87.321,87.229,87.196,87.034,87.034,87.025,86.523,86.416,86.416,86.414,86.276,86.145,85.996,85.996,85.666,84.68,84.639,84.625,84.451,84.317,84.158,84.192,84.094,83.99,83.6,83.637,83.219,82.926,82.926,82.857,82.711,82.69,82.665,82.35,82.302,82.242,81.759,81.558,81.503
      Diagnostic Imaging Services & Medical Laboratory Services,101.582,101.411,100.545,100.476,100.476,101.073,100.614,100.105,99.68,99.562,99.562,99.355,99.344,99.21,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Patient Emergency Transportation Services & Emergency Rescue,101.692,101.692,101.692,101.692,101.692,101.692,100.097,99.339,99.339,99.339,99.339,98.564,98.564,98.652,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Health Insurance,104.912,104.912,104.746,104.746,102.913,102.87,99.436,99.44,99.44,99.44,97.788,96.363,96.363,96.455,95.914,95.914,95.609,95.609,95.609,95.687,95.687,95.49,95.49,93.653,93.653,93.653,93.081,93.081,91.925,91.925,91.925,91.636,91.636,91.636,91.343,91.343,91.343,91.27,91.27,91.27,91.27,91.27,91.27,91.27,91.27,91.27,89.154,89.931,85.928,85.928,85.928,85.928,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.88,85.832,85.832,85.832,85.832,85.832,85.832,85.832,85.832,85.832,85.832,85.832,85.832,85.713,85.713,85.713,85.713,85.713,85.713,85.713,85.713,85.05,85.05,85.05,84.632
  Transport,101.462,102.277,100.755,100.232,101.381,100.262,99.723,99.742,99.621,100.073,100.052,99.353,99.634,99.173,100.45,99.996,103.184,101.93,100.093,98.21,99.041,97.405,99.266,97.681,96.524,96.107,96.671,97.237,95.205,95.861,95.508,94.737,94.653,91.92,91.442,92.015,87.974,85.869,85.77,84.666,82.459,80.567,79.493,79.621,79.65,79.591,79.165,77.531,76.654,76.228,75.432,74.168,74.254,74.396,73.394,72.664,71.703,71.708,72.156,73.402,74.398,75.748,74.976,74.475,74.667,74.045,74.481,73.659,73.982,75.28,75.128,73.333,73.131,72.713,72.76,72.894,73.482,73.434,73.57,73.33,73.68,73.916,73.774,73.663,74.153,74.323,74.707,74.946,73.875,73.538,73.733,73.557,73.482,73.89,74.322,74.038,73.685,73.795
    Private Transport,100.688,101.528,99.842,100.315,101.904,100.734,100.035,100.245,99.513,100.579,100.324,98.659,99.074,98.777,100.746,101.31,105.641,103.985,101.572,98.976,99.895,97.951,100.162,98.193,96.458,94.979,95.967,97.269,94.579,95.83,95.511,94.477,94.385,91.332,90.715,90.393,86.045,83.132,83.117,82.98,80.613,78.336,76.968,77.301,77.43,77.076,76.658,74.387,73.404,72.903,71.985,70.381,70.557,70.701,69.443,68.646,67.389,67.34,67.931,69.418,70.45,71.574,71.155,71.281,71.483,70.805,71.117,70.135,70.46,72.222,71.871,69.594,68.795,68.411,68.85,69.498,70.362,70.305,70.421,70.186,70.429,70.927,70.653,70.544,70.839,71.477,71.465,72.106,70.762,70.368,70.567,70.347,70.152,70.868,71.206,70.951,70.393,70.322
      Motor Cars,100.02,102.42,99.705,99.925,102.754,101.093,100.238,99.52,99.703,101.17,100.043,97.987,98.75,99.112,102.192,102.499,108.391,105.738,102.774,99.804,101.392,98.94,101.354,98.773,96.24,94.504,96.302,97.475,93.748,95.358,94.689,92.603,90.752,87.68,87.841,87.268,82.941,79.586,80.12,79.671,76.576,73.677,71.646,71.577,72.215,71.765,71.444,68.238,67.927,68.185,67.254,65.235,65.525,65.775,63.971,62.855,61.521,61.512,61.575,62.025,62.426,63.793,63.384,63.61,64.035,63.101,63.688,62.301,62.928,65.029,64.702,61.715,60.999,60.424,60.895,60.992,60.989,61.462,62.294,61.575,62.372,63.243,63.155,63.441,63.979,65.087,66.054,67.034,65.194,64.695,65.692,65.303,65.009,66.271,66.603,65.891,64.983,65.888
      Motorcycles,96.578,95.563,94.202,97.733,102.609,103.022,101.264,98.499,98.473,100.62,103.61,101.383,99.001,99.586,100.359,105.758,108.82,107.614,111.13,104.854,107.891,91.5,114.636,115.189,113.557,108.697,112.576,118.11,114.753,110.18,107.841,106.998,102.753,99.098,102.938,107.259,103.798,101.172,99.291,98.6,97.482,98.667,97.591,94.223,94.265,93.295,91.489,90.195,88.668,88.911,89.356,87.05,87.606,87.49,88.701,86.167,70.46,70.46,70.46,70.416,70.132,69.679,66.585,68.135,67.161,67.078,70.103,64.155,62.605,63.89,65.138,65.47,66.267,63.801,65.755,59.26,67.791,69.531,76.372,83.952,87.997,89.303,89.017,92.283,93.866,92.199,86.316,79.395,74.944,77.808,72.223,81.026,81.933,81.839,88.414,91.429,83.451,79.513
      Bicycles,103.07,101.802,101.655,102.149,101.487,99.002,100.416,100.04,100.711,100.44,97.791,98.634,98.538,99.138,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Parts & Accessories For Personal Transport Equipment,101.297,100.584,100.24,100.341,100.102,100.315,100.421,99.838,100.253,99.848,99.876,100.343,99.103,99.323,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Petrol,101.506,100.296,99.259,100.354,100.637,99.023,98.183,101.322,99.779,101.528,102.52,99.673,100.036,97.687,97.324,99.017,100.554,101.938,99.383,96.115,95.379,94.769,96.193,95.28,95.494,94.32,93.841,96.836,96.379,98.044,99.415,106.517,115.505,109.501,104.312,104.446,95.709,91.823,90.017,91.025,89.546,87.689,87.562,87.452,85.073,84.17,82.965,82.839,78.004,73.453,71.599,70.247,70.075,69.934,69.727,69.742,69.35,69.507,72.131,74.884,78.845,80.433,80.466,79.377,78.762,78.225,77.485,77.534,77.848,79.491,78.612,76.705,75.26,75.075,75.78,78.634,81.472,80.036,78.691,78.375,78.261,77.985,76.695,75.833,76.12,76.162,75.126,75.749,74.205,73.408,72.437,71.594,71.77,72.21,72.378,72.31,72.883,71.623
